transactionId,transactionType,amount,transactionTime,sourceAccountId,destinationAccountId
TXN-BULK-0001,DEPOSIT,14034.18,2026-04-16T10:00:00,,ACC2617
TXN-BULK-0002,WITHDRAWAL,6520.1,2026-04-16T10:01:00,ACC1056,
TXN-BULK-0003,TRANSFER,2100.3,2026-04-16T10:03:00,ACC2567,ACC2057
TXN-BULK-0004,DEPOSIT,8680.19,2026-04-16T10:07:00,,ACC2616
TXN-BULK-0005,DEPOSIT,6676.48,2026-04-16T10:12:00,,ACC1014
TXN-BULK-0006,DEPOSIT,8637.2,2026-04-16T10:14:00,,ACC1132
TXN-BULK-0007,WITHDRAWAL,13778.76,2026-04-16T10:18:00,ACC2007,
TXN-BULK-0008,DEPOSIT,45891.58,2026-04-16T10:22:00,,ACC1017
TXN-BULK-0009,WITHDRAWAL,10941.14,2026-04-16T10:24:00,ACC2213,
TXN-BULK-0010,TRANSFER,7126.46,2026-04-16T10:28:00,ACC2026,ACC1386
TXN-BULK-0011,DEPOSIT,37654.93,2026-04-16T10:29:00,,ACC1017
TXN-BULK-0012,WITHDRAWAL,6794.89,2026-04-16T10:32:00,ACC1171,
TXN-BULK-0013,WITHDRAWAL,5581.7,2026-04-16T10:37:00,ACC2231,
TXN-BULK-0014,WITHDRAWAL,5672.99,2026-04-16T10:42:00,ACC1530,
TXN-BULK-0015,DEPOSIT,14111.37,2026-04-16T10:45:00,,ACC2236
TXN-BULK-0016,DEPOSIT,5596.65,2026-04-16T10:48:00,,ACC1444
TXN-BULK-0017,WITHDRAWAL,7723.11,2026-04-16T10:53:00,ACC2507,
TXN-BULK-0018-0,TRANSFER,4000.75,2026-04-16T10:55:00,ACC1005,ACC2613
TXN-BULK-0018-1,TRANSFER,4433.12,2026-04-16T10:55:10,ACC1005,ACC1526
TXN-BULK-0018-2,TRANSFER,3774.66,2026-04-16T10:55:20,ACC1005,ACC2489
TXN-BULK-0019,TRANSFER,774036.24,2026-04-17T00:28:00,ACC1152,ACC2541
TXN-BULK-0020,WITHDRAWAL,9520.54,2026-04-16T10:59:00,ACC1818,
TXN-BULK-0021,DEPOSIT,25448.4,2026-04-16T11:02:00,,ACC1017
TXN-BULK-0022,TRANSFER,9323.11,2026-04-17T02:22:00,ACC1669,ACC1934
TXN-BULK-0023,DEPOSIT,14250.78,2026-04-16T11:10:00,,ACC1503
TXN-BULK-0024,WITHDRAWAL,62634.25,2026-04-17T01:06:00,ACC2638,
TXN-BULK-0025,DEPOSIT,40798.25,2026-04-16T11:13:00,,ACC1017
TXN-BULK-0026,TRANSFER,10568.53,2026-04-16T11:18:00,ACC1811,ACC2645
TXN-BULK-0027,TRANSFER,1301.28,2026-04-16T11:19:00,ACC2298,ACC2196
TXN-BULK-0028-0,TRANSFER,1995.94,2026-04-16T11:20:00,ACC1005,ACC1505
TXN-BULK-0028-1,TRANSFER,1925.85,2026-04-16T11:20:10,ACC1005,ACC1921
TXN-BULK-0028-2,TRANSFER,4478.83,2026-04-16T11:20:20,ACC1005,ACC2360
TXN-BULK-0029-0,TRANSFER,4819.79,2026-04-16T11:24:00,ACC1005,ACC2410
TXN-BULK-0029-1,TRANSFER,1065.91,2026-04-16T11:24:10,ACC1005,ACC1714
TXN-BULK-0029-2,TRANSFER,2878.68,2026-04-16T11:24:20,ACC1005,ACC1277
TXN-BULK-0030,WITHDRAWAL,11618.53,2026-04-16T11:29:00,ACC1484,
TXN-BULK-0031,TRANSFER,80082.83,2026-04-17T01:49:00,ACC2528,ACC1890
TXN-BULK-0032,TRANSFER,8289.12,2026-04-16T11:35:00,ACC1883,ACC1962
TXN-BULK-0033,TRANSFER,8089.33,2026-04-17T02:13:00,ACC1321,ACC2467
TXN-BULK-0034,DEPOSIT,12033.53,2026-04-16T11:45:00,,ACC2149
TXN-BULK-0035,TRANSFER,785914.36,2026-04-17T00:59:00,ACC2162,ACC1797
TXN-BULK-0036,DEPOSIT,28774.33,2026-04-16T11:53:00,,ACC1017
TXN-BULK-0037,DEPOSIT,241.39,2026-04-16T11:55:00,,ACC2597
TXN-BULK-0038,DEPOSIT,820397.54,2026-04-17T01:06:00,,ACC2106
TXN-BULK-0039,TRANSFER,11191.19,2026-04-16T12:00:00,ACC2330,ACC1503
TXN-BULK-0040,WITHDRAWAL,11497.16,2026-04-16T12:01:00,ACC2289,
TXN-BULK-0041,TRANSFER,65165.45,2026-04-17T03:34:00,ACC1650,ACC2259
TXN-BULK-0042,DEPOSIT,6221.53,2026-04-16T12:08:00,,ACC2183
TXN-BULK-0043,TRANSFER,12227.12,2026-04-16T12:11:00,ACC1702,ACC2241
